col0 col1 "Scan rate (V/seg)"
-0.7308451334635384 -7.308451334635383e-07 0.005
-3.3443366156684036 -3.3443366156684033e-06 0.01
-6.481858995225693 -6.481858995225693e-06 0.02
-10.38409762912325 -1.038409762912325e-05 0.04
-12.921651204427071 -1.2921651204427071e-05 0.06
-14.764404296874993 -1.4764404296874992e-05 0.08
-16.49834526909722 -1.649834526909722e-05 0.1
-18.29379611545137 -1.829379611545137e-05 0.125
-19.908108181423607 -1.9908108181423607e-05 0.15
-22.415296766493043 -2.241529676649304e-05 0.2
