"WE Potential min (V)" "WE Current min (µA)" "y-axe intersection (µA)" "Scan rate (V/seg)"
0.2410888671875 -6.005859375 -5.275014241536462 0.005
0.2484130859375 -7.843017578125 -4.498680962456596 0.01
0.2459716796875 -10.7757568359375 -4.293897840711807 0.02
0.2410888671875 -14.8590087890625 -4.474911159939249 0.04
0.2362060546875 -17.547607421875 -4.6259562174479285 0.06
0.2337646484375 -19.5648193359375 -4.800415039062507 0.08
0.2288818359375 -21.4447021484375 -4.946356879340277 0.1
0.2264404296875 -23.590087890625 -5.296291775173627 0.125
0.2239990234375 -25.4730224609375 -5.564914279513893 0.15
0.2166748046875 -28.3355712890625 -5.920274522569458 0.2
