col0 col1 "Scan rate (V/seg)"
1.3118034614311462 1.3118034614311462e-06 0.005
3.4624241420200885 3.4624241420200884e-06 0.01
6.878379737937843 6.878379737937843e-06 0.02
10.543139111864697 1.0543139111864696e-05 0.04
13.138907296316964 1.3138907296316963e-05 0.06
14.800517323252919 1.4800517323252918e-05 0.08
16.429225376674108 1.642922537667411e-05 0.1
18.102370042067307 1.8102370042067304e-05 0.125
19.58874712933551 1.9588747129335507e-05 0.15
22.199105063637532 2.219910506363753e-05 0.2
